dataset,iters,norm,ndcg
MSLR_WEB30K,1,normalized,0.44676
MSLR_WEB30K,1,unnormalized,0.183
MSLR_WEB30K,2,normalized,0.44674
MSLR_WEB30K,2,unnormalized,0.18304
MSLR_WEB30K,3,normalized,0.44674
MSLR_WEB30K,3,unnormalized,0.18298
MSLR_WEB30K,4,normalized,0.44674
MSLR_WEB30K,4,unnormalized,0.18288
MSLR_WEB30K,5,normalized,0.44674
MSLR_WEB30K,5,unnormalized,0.18292
MSLR_WEB30K,6,normalized,0.44678
MSLR_WEB30K,6,unnormalized,0.18292
MSLR_WEB30K,7,normalized,0.44678
MSLR_WEB30K,7,unnormalized,0.18292
MSLR_WEB30K,8,normalized,0.44678
MSLR_WEB30K,8,unnormalized,0.18292
MSLR_WEB30K,9,normalized,0.44678
MSLR_WEB30K,9,unnormalized,0.18292
MSLR_WEB30K,10,normalized,0.44674
MSLR_WEB30K,10,unnormalized,0.18292
MSLR_WEB30K,11,normalized,0.44678
MSLR_WEB30K,11,unnormalized,0.18292
MSLR_WEB30K,12,normalized,0.44678
MSLR_WEB30K,12,unnormalized,0.18292
MSLR_WEB30K,13,normalized,0.44674
MSLR_WEB30K,13,unnormalized,0.18292
MSLR_WEB30K,14,normalized,0.44674
MSLR_WEB30K,14,unnormalized,0.18292
MSLR_WEB30K,15,normalized,0.44674
MSLR_WEB30K,15,unnormalized,0.18292
MSLR_WEB30K,16,normalized,0.44674
MSLR_WEB30K,16,unnormalized,0.18292
MSLR_WEB30K,17,normalized,0.44678
MSLR_WEB30K,17,unnormalized,0.18292
MSLR_WEB30K,18,normalized,0.44674
MSLR_WEB30K,18,unnormalized,0.18292
MSLR_WEB30K,19,normalized,0.44678
MSLR_WEB30K,19,unnormalized,0.18292
MSLR_WEB30K,20,normalized,0.44678
MSLR_WEB30K,20,unnormalized,0.18292
MSLR_WEB30K,21,normalized,0.44676
MSLR_WEB30K,21,unnormalized,0.18292
MSLR_WEB30K,22,normalized,0.44674
MSLR_WEB30K,22,unnormalized,0.18292
MSLR_WEB30K,23,normalized,0.44674
MSLR_WEB30K,23,unnormalized,0.18292
MSLR_WEB30K,24,normalized,0.44676
MSLR_WEB30K,24,unnormalized,0.18292
MSLR_WEB30K,25,normalized,0.44674
MSLR_WEB30K,25,unnormalized,0.18292
MSLR_WEB30K,26,normalized,0.44678
MSLR_WEB30K,26,unnormalized,0.18292
MSLR_WEB30K,27,normalized,0.44674
MSLR_WEB30K,27,unnormalized,0.18292
MSLR_WEB30K,28,normalized,0.44676
MSLR_WEB30K,28,unnormalized,0.18292
MSLR_WEB30K,29,normalized,0.44678
MSLR_WEB30K,29,unnormalized,0.18292
MSLR_WEB30K,30,normalized,0.44676
MSLR_WEB30K,30,unnormalized,0.18292
