ListNet (47),,SmoothRank (78),,FenchelRank (21),,FSMRank (27),,LRUF (49),,LARF (45),
IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN
890,0.48988764,653,0.60030628,505,0.73069307,482,0.7593361,460,0.97826087,379,0.98680739
777,0.54954955,499,0.60521042,351,0.70655271,328,0.7652439,306,0.96732026,225,0.99555556
884,0.47171946,653,0.60030628,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
816,0.48529412,538,0.6319703,422,0.7630332,482,0.7593361,345,0.9797101,264,0.9848485
893,0.49832027,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
821,0.52375152,543,0.626151,471,0.7473461,448,0.7834821,350,0.9914286,269,0.9814126
876,0.48515982,598,0.5919732,505,0.7306931,466,0.7725322,460,0.9782609,379,0.9868074
849,0.4770318,571,0.6042032,423,0.7304965,400,0.7225,460,0.9782609,379,0.9868074
876,0.46803653,598,0.5802676,490,0.7326531,482,0.7593361,460,0.9782609,379,0.9868074
849,0.5041225,571,0.5674256,423,0.6973995,400,0.7225,460,0.9782609,379,0.9868074
850,0.49764706,653,0.6003063,505,0.7306931,439,0.7722096,379,0.9736148,379,0.9868074
860,0.49883721,653,0.6003063,450,0.7311111,411,0.7712895,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9736148,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
931,0.49516649,653,0.6003063,505,0.7306931,482,0.7593361,460,0.9782609,379,0.9868074
